_id	lemma	newspaper	country	formality	_cws.model	_ctxt.model	model.x	model.y
praatje/noun/het_nieuwsblad_19991203_01_698/566	praatje	het_nieuwsblad	Belgium	popular	seks/noun;ken/verb;vuil/adj;	"<small>we hen aan daarrond vorming te geven . Anders bestaat</small> het risico dat de gehandicapte <u>seks</u><sup>1.123</sup> alleen <u>kent</u><sup>1.139</sup> via <u>vuile</u><sup>1.815</sup> <span class='target'>praatjes</span> of geheimdoenerij . Dergelijke vertekende verhalen versterken hun kwetsbaarheid nog <small>vertekende verhalen versterken hun kwetsbaarheid nog . " Bart DOBBELAERE</small>"	7.6208048264115	0.844272626972851
praatje/noun/parool_20010927_127/17	praatje	parool	Netherlands	popular	pauze/noun;kennelijk/adj;thee/noun;	"<small>Real Madrid kreeg in de pauze kennelijk krachtige thee geserveerd</small> de <u>pauze</u><sup>1.194</sup> <u>kennelijk</u><sup>1.065</sup> krachtige <u>thee</u><sup>2.197</sup> geserveerd en bovenal een pittig <span class='target'>praatje</span> van trainer Del Bosque . <small>van trainer Del Bosque .</small>"	10.0334947783568	4.0774940813001
praatje/noun/parool_20010418_61/299	praatje	parool	Netherlands	popular	verberg/verb;	"<small>Dogma-film The idiots een groepje radicale wereldverbeteraars genadeloos te kijk</small> zette als machtswellustelingen , die hun egoïsme <u>verborgen</u><sup>1.34</sup> achter ideologische <span class='target'>praatjes</span> . Met Lukas Moodysson krijgt Von Trier gezelschap . Het <small>Zweedse talent , dat twee jaar geleden succesvol debuteerde met</small>"	-22.1822957214079	-12.5440179738194
praatje/noun/het_laatste_nieuws_20011026_01_328/347	praatje	het_laatste_nieuws	Belgium	popular	regelmatig/adj;maak/verb	"<small>wel van andapos;t Klooster , een aangename taverne schuin tegenover</small> het gemeentehuis . Ik ga er <u>regelmatig</u><sup>1.529</sup> langs om een <span class='target'>praatje</span> te <u>maken</u><sup>2.248</sup> . Er is ook een vergaderzaal waar ik <small>voor verschillende verenigingen soms moet zijn . Het leuke aan</small>"	0.31654138292973	-25.5422745405293
praatje/noun/algemeen_dagblad_20041130_38/187	praatje	algemeen_dagblad	Netherlands	popular	maak/verb;vriendelijk/adj;	"<small>in het dorp -een hartelijk welkom . Iedereen schudt ons</small> de hand , de burgemeester <u>maakt</u><sup>2.248</sup> met ons een <u>vriendelijk</u><sup>3.184</sup> <span class='target'>praatje</span> , en onze kinderen worden gekust en in de wang <small>geknepen door alle aanwezige vrouwen . " Er komen elk</small>"	4.45821863908195	8.89777220239191
praatje/noun/nrc_handelsblad_20010331_146/167	praatje	nrc_handelsblad	Netherlands	quality	;knoop_aan/verb	"<small>. Zo levensecht waren ze , dat het Mair toescheen</small> dat ze slechts sliepen en straks met de bezoeker een <span class='target'>praatje</span> zouden <u>aanknopen</u><sup>4.987</sup> . Maar waar de Amerikaan pas echt opgewonden <small>van raakte , was hun uiterlijk . Voor hem lagen</small>"	22.1255578787827	17.0096723347782
babbel/noun/het_nieuwsblad_20040619_01_27/13	babbel	het_nieuwsblad	Belgium	popular	gezellig/adj;	"<small>Spektakel en een gezellige</small> Spektakel en een <u>gezellige</u><sup>4.975</sup> <span class='target'>babbel</span> Kaatsen zweeft tussen folklore en sport op hoog niveau Betweters <small>doen het af als een ordinaire cafésport . En kaatsen</small>"	15.6771136468659	12.679149459587
praatje/noun/het_nieuwsblad_20030327_01_540/131	praatje	het_nieuwsblad	Belgium	popular	maak/verb;	"<small>Vier - - onder wie z'n eigen echtgenote , de</small> filmactrice Jiang Qing - - hem gek had <u>gemaakt</u><sup>2.248</sup> met <span class='target'>praatjes</span> over complotten , riep Mao Zedong ( 1893-1976 ) in <small>1966 de Culturele Revolutie uit . Het was Mao's derde</small>"	0.248478174992619	-20.0638514041933
praatje/noun/het_nieuwsblad_20010217_01_96/509	praatje	het_nieuwsblad	Belgium	popular	aanleiding/noun;roddel/noun;mens/noun	"<small>niet sociaal aanvaard . Een relatie waarbij een huwelijk wordt</small> bedreigd , wordt afgekeurd en geeft <u>aanleiding</u><sup>1.197</sup> tot <u>roddels</u><sup>3.178</sup> en <span class='target'>praatjes</span> . Nog erger is een relatie tussen <u>mensen</u><sup>1.089</sup> van een <small>verschillend hiërarchisch niveau . Een relatie met de chef wekt</small>"	11.7211536657815	-20.6772119479768
praatje/noun/parool_20020216_103/563	praatje	parool	Netherlands	popular	vaak/adj;buurtbewoner/noun;kom_tegen/verb;even/adj;maak/verb	"<small>buurtsuper ook een sociale functie . " Het is de</small> enige plek waar je <u>vaak</u><sup>1.188</sup> <u>buurtbewoners</u><sup>1.491</sup> <u>tegenkomt</u><sup>2.267</sup> en <u>even</u><sup>1.885</sup> een <span class='target'>praatje</span> <u>maakt</u><sup>2.248</sup> . " Jeroen Verhulst - ook lid van de <small>werkgroep - wijst op de oudere mensen in de buurt</small>"	-1.10204688615365	-8.94820415742068
