concept polysemousVariant var.1BE-Du var.2BE-Du var.3BE-Du var.1NL-Du var.2NL-Du var.3NL-Du variants freq.BEDu freq.NLDu entropy.variant entropy.lect weight.cramersV weight.llr filter.llr weight.fisher filter.fisher weight.power filter.power distance_cityblock external_uniformity internal_uniformity iu.BEDu iu.NLDu tot.freq min.lect.freq
allegation no 295 75 96 382 29 123 aantijging/insinuatie/verdachtmaking 466 534 0.83206846488001 0.690833395474842 0.1742743982 0.9999998134 1 0.999999794 1 0.999307126029602 1 0.107 0.893 0.517 0.469 0.568 1000 466
amusement_park no 41 459 NA 122 378 NA attractie_park/pret_park 500 500 0.444611249250944 0.693147180559945 0.2165875336 1 1 1 1 0.999999493600407 1 0.162 0.838 0.727 0.849 0.631 1000 500
apartment_building yes 120 295 99 10 381 95 appartement_gebouw/flat/flat_gebouw 514 486 0.848064798159582 0.692755129322542 0.3215544887 1 1 1 1 0.999999999999997 1 0.212 0.788 0.512 0.421 0.653 1000 486
appreciation no 34 281 164 4 232 285 appreciatie/erkenning/waardering 479 521 0.826212219743657 0.692264921068805 0.2435429503 1 1 1 1 0.999999959285293 1 0.205 0.795 0.466 0.466 0.498 1000 479
cash no 497 65 NA 114 324 NA cash/contanten 562 438 0.668298672260717 0.685439356596999 0.6330319485 1 1 1 1 1 1 0.624 0.376 0.525 0.795 0.615 1000 438
chat yes 200 95 216 32 24 433 babbel/babbel_DIM/praatje 511 489 0.872840679934327 0.692905161034832 0.4860072835 1 1 1 1 1 1 0.463 0.537 0.489 0.366 0.791 1000 489
commuter no 24 688 NA 274 14 NA forens/pendelaar 712 288 0.609160170377407 0.600351187777658 0.9061410595 1 1 1 1 1 1 0.917 0.083 0.582 0.935 0.908 1000 288
convict no 146 276 NA 148 430 NA gedetineerde/gevangene 422 578 0.605694469714336 0.680929340366306 0.0952503412 0.9978788003 1 0.997514513 1 0.853627228560926 1 0.09 0.91 0.585 0.547 0.619 1000 422
database no 334 103 NA 311 252 NA data_bank/database 437 563 0.650487009385091 0.685188042082719 0.2175480684 1 1 1 1 0.999999566194282 1 0.212 0.788 0.542 0.64 0.505 1000 437
demolition yes 446 138 NA 102 314 NA afbraak/sloop 584 416 0.688532076450456 0.678968036741767 0.5114702641 1 1 1 1 1 1 0.519 0.481 0.505 0.639 0.63 1000 416
dip yes 140 263 NA 395 202 NA dip/inzinking 403 597 0.690695175794653 0.67420932782224 0.3069911066 1 1 1 1 0.999999999999995 1 0.315 0.685 0.502 0.547 0.552 1000 403
display_window yes 309 69 136 280 1 205 etalage/uit_stal_raam/vitrine 514 486 0.864795665114218 0.692755129322542 0.2841234816 1 1 1 1 0.99999999998403 1 0.157 0.843 0.468 0.449 0.51 1000 486
draw no 57 609 99 2 213 20 draw/gelijkspel/punt_deling 765 235 0.581414269375248 0.54524767028096 0.1374737164 0.9999955869 1 0.9999905565 1 0.979982934551167 1 0.11 0.89 0.693 0.656 0.829 1000 235
