_id	lemma	newspaper	country	formality	_cws.model	_ctxt.model	model.x	model.y
opening_uur/noun/het_laatste_nieuws_20030612_01_110/156	opening_uur	het_laatste_nieuws	Belgium	popular	uur/noun;	"<small>andquot; Deze koopwaar moet wel deel uitmaken van de vangst</small> , die de kustvissers minder dan 24 <u>uur</u><sup>1.973</sup> voor het <span class='target'>openingsuur</span> van de vismarkt buitmaakten . Het verbod op de verkoop <small>van gepelde garnalen blijft behouden . andquot; Piepschuim De plaatsingmeester</small>"	5.71802588389802	22.2450333254517
opening_uur/noun/het_nieuwsblad_20011106_01_631/47	opening_uur	het_nieuwsblad	Belgium	popular	Wevelgem/name;gratis/adj;toegankelijk/adj;tijdens/prep;bibliotheek/noun	"<small>Baert , tot eind november in de gemeentelijke bibliotheek ,</small> aan de Vanackerestraat in <u>Wevelgem</u><sup>2.262</sup> . <u>Gratis</u><sup>2.968</sup> <u>toegankelijk</u><sup>4.342</sup> <u>tijdens</u><sup>3.429</sup> de <span class='target'>openingsuren</span> van de <u>bibliotheek</u><sup>5.112</sup> . SPREEKBEURT - Etienne Vanackere geeft op <small>dinsdag 6 november om 14.30 uur in de bar van</small>"	7.93262552623773	1.67666186859805
opening_uur/noun/het_nieuwsblad_20010519_01_624/170	opening_uur	het_nieuwsblad	Belgium	popular	hoofd_bibliotheek/noun;bepaal/verb	"<small>voor de uitleendienst , kan op vraag een boek de</small> weg vanuit de <u>hoofdbibliotheek</u><sup>5.314</sup> naar Oostkerke vinden . " De <span class='target'>openingsuren</span> zijn voorlopig zo <u>bepaald</u><sup>1.056</sup> dat ook de schoolgaande jeugd klassikaal <small>boeken kan ontlenen . " Tijdens de plechtige opening schetste</small>"	-1.42791569831449	-9.19115458898876
opening_uur/noun/het_laatste_nieuws_20020525_01_509/86	opening_uur	het_laatste_nieuws	Belgium	popular	;handel_zaak/noun	"<small>de buurlanden vaak bezoeken . De Belgische chocolade , dat</small> is zonder twijfel de beste van de wereld . De <span class='target'>openingsuren</span> van de <u>handelszaken</u><sup>3.641</sup> . Je kan hier nooit gaan winkelen <small>wanneer je er de tijd voor hebt . Jacques Brel</small>"	-17.0939778176239	-6.55569290462986
opening_uur/noun/de_standaard_20020410_01_98/263	opening_uur	de_standaard	Belgium	quality	tentoonstelling/noun;bezoek/verb;dinsdag/noun;tot/prep;vrijdag/noun	"<small>Om de geïnteresseerden uit Brugge en omgeving de kans te</small> geven de <u>tentoonstelling</u><sup>3.12</sup> in comfortabele omstandigheden <u>bezoeken</u><sup>2.759</sup> , werd het <span class='target'>openingsuur</span> van <u>dinsdag</u><sup>1.655</sup> <u>tot</u><sup>1.477</sup> <u>vrijdag</u><sup>2.034</sup> vervroegd <u>tot</u><sup>1.477</sup> halfnegen . Vanavond wordt <small>in het Groeningemuseum een " aanwinst " van de tentoonstelling</small>"	10.6217971793843	8.43852264561216
opening_uur/noun/het_nieuwsblad_19990129_01_598/299	opening_uur	het_nieuwsblad	Belgium	popular	voorzie/verb;buiten/prep;permanentie/noun	"<small>uur . Op donderdag is het twee uur langer open</small> , omdat er een ombudsdienst is <u>voorzien</u><sup>1.002</sup> . <u>Buiten</u><sup>2.869</sup> de <span class='target'>openingsuren</span> is er ook <u>permanentie</u><sup>5.334</sup> , maar dan moet wel het <small>nummer in Brussel gekozen . Het nieuwe gebouw biedt plaats</small>"	-20.2504633096683	20.6389590225947
opening_tijd/noun/nrc_handelsblad_20000918_8/1074	opening_tijd	nrc_handelsblad	Netherlands	quality	voorwaarde/noun;toename/noun;school/noun;kinderopvang/noun;flexibel/adj	"<small>herintreders te wachten - kan het werk over meer mensen</small> worden verdeeld . <u>Voorwaarde</u><sup>1.077</sup> voor die <u>toename</u><sup>2.332</sup> is dat de <span class='target'>openingstijden</span> van <u>scholen</u><sup>1.23</sup> en <u>kinderopvang</u><sup>3.2</sup> <u>flexibeler</u><sup>4.37</sup> zijn . En dat vaders <small>mede aansprakelijk worden gemaakt voor zorgtaken . Dan zitten de</small>"	-32.2630241661987	-5.3962644972497
opening_uur/noun/het_laatste_nieuws_20040123_01_242/267	opening_uur	het_laatste_nieuws	Belgium	popular	nauwgezet/adj;controleer/verb;nacht_winkel/noun;wettelijk/adj;hygiëne/noun;nauwgezet/adj;controleer/verb	"<small>maanden ook aan een strenge controle verwachten . andquot; We</small> gaan <u>nauwgezet</u><sup>3.088</sup> <u>controleren</u><sup>1.465</sup> of de <u>nachtwinkels</u><sup>4.886</sup> zich aan de <u>wettelijke</u><sup>1.996</sup> <span class='target'>openingsuren</span> houden . Ook de <u>hygiëne</u><sup>3.616</sup> wordt <u>nauwgezet</u><sup>3.088</sup> <u>gecontroleerd</u><sup>1.465</sup> . Sommige <small>uitbaters durven wel eens vervallen producten te verkopen . Maar</small>"	-23.7685439568603	-9.76878163460756
opening_uur/noun/het_laatste_nieuws_20030822_01_294/709	opening_uur	het_laatste_nieuws	Belgium	popular	bezichtig/verb;tijdens/prep;info/noun	"<small>Schatten uit een Amerikaanse Bibliotheek andapos; . Unieke collectie te</small> <u>bezichtigen</u><sup>5.357</sup> in de universiteitsbibliotheek aan het Mgr. Ladeuzeplein <u>tijdens</u><sup>3.429</sup> de <span class='target'>openingsuren</span> . <u>Info</u><sup>3.023</sup> : 016/32.46.60 . OUD-HEVERLEE Antiek : onder het <small>motto andapos; Kunst op het Water 2003 andapos; zijn prachtige</small>"	15.1376084835538	-0.679236937838184
opening_uur/noun/het_nieuwsblad_20011231_01_252/297	opening_uur	het_nieuwsblad	Belgium	popular	tijdens/prep;10/noun;januari/noun;19/noun;uur/noun	"<small>selectie bezoeken tot en met 27 januari . Gaverprijs in</small> De Schakel , Schakelstraat 8 in Waregem , <u>tijdens</u><sup>3.429</sup> de <span class='target'>openingsuren</span> . Vernissage op <u>10</u><sup>1.983</sup> <u>januari</u><sup>1.901</sup> om <u>19</u><sup>2.433</sup> <u>uur</u><sup>1.973</sup> . Workshops <small>voor jongeren Na het succes van de vorige editie houdt</small>"	16.5485567191997	-4.47647829737322
opening_tijd/noun/algemeen_dagblad_20000923_77/64	opening_tijd	algemeen_dagblad	Netherlands	popular	opvang/noun;beperkt/adj	"<small>kinderen dat ze besloot er zelf ééntje op te zetten</small> . " Ik vond de <u>opvang</u><sup>2.321</sup> zo belabberd . De <span class='target'>openingstijden</span> waren veel te <u>beperkt</u><sup>2.983</sup> en het beleid van de leidsters <small>was veel te vaag . Wij zijn tenminste van zeven</small>"	-16.1494581490455	-3.54352920096448
