_id	lemma	newspaper	country	formality	_cws.model	_ctxt.model	model.x	model.y
inzinking/noun/de_morgen_20040521_01_95/489	inzinking	de_morgen	Belgium	quality	favoriet/noun;	"<small>binnen de minuut . Ei zo na viel er een</small> slachtoffer bij de <u>favorieten</u><sup>1.922</sup> , maar Stefano Garzelli kon een <span class='target'>inzinking</span> op de slotklim nog net rechtzetten . Topfavoriet Gilberto Simoni <small>gaf intussen aan dat hij in juli de handschoen opneemt</small>"	5.50683135704848	-17.1813801130759
inzinking/noun/het_nieuwsblad_20020424_01_108/220	inzinking	het_nieuwsblad	Belgium	popular	hoop/verb;tijdelijk/adj	"<small>Rond de 34ste kilometer begon de motor plots te sputteren</small> . " " Ik kon alleen maar <u>hopen</u><sup>1.081</sup> dat de <span class='target'>inzinking</span> slechts <u>tijdelijk</u><sup>3.318</sup> zou zijn . Het licht in de tunnel <small>kwam maar niet . De Algerijn Noureddine , die me</small>"	-3.43964810822721	31.788308487085
inzinking/noun/het_nieuwsblad_20010716_01_147/188	inzinking	het_nieuwsblad	Belgium	popular	derde/num;krijg/verb;klein/adj;verwerk/verb	"<small>Blondeel laten gaan . Lange tijd hield ik stand op</small> de <u>derde</u><sup>1.142</sup> plaats , maar toen <u>kreeg</u><sup>1.37</sup> ik een <u>kleine</u><sup>1.98</sup> <span class='target'>inzinking</span> te <u>verwerken</u><sup>1.762</sup> . Karel Pardaens en Stijn Demeulemeester zouden me <small>Stijn Demeulemeester zouden me nog voorbij rennen . " GOW</small>"	20.6506278164973	-2.75412463108744
inzinking/noun/de_morgen_20000420_01_157/633	inzinking	de_morgen	Belgium	quality	;tempo/noun	"<small>' the 51st state of the USA ' ging lijken</small> , wist te bekoren . Intussen begonnen echter ook de <span class='target'>inzinkingen</span> elkaar in snel <u>tempo</u><sup>1.586</sup> op te volgen . ' DecemberSunlight <small>' , een mooie up-tempo song werd verknald door een</small>"	-18.4011143651408	-6.18839789431212
dip/noun/parool_20030521_10/120	dip	parool	Netherlands	popular	langzaam/adj;markt/noun	"<small>op de kunsthandel en die markt zal weliswaar niet '</small> klappen ' , denkt Erdman , maar <u>langzaam</u><sup>1.461</sup> krijgt de <span class='target'>dip</span> ' als een sluipmoordenaar grip op de <u>markt</u><sup>2.08</sup> ' . <small>Het duurt doorgaans twee jaar voor een economische recessie ook</small>"	-2.57967625054233	-3.13451244303687
inzinking/noun/de_standaard_20040726_01_48/265	inzinking	de_standaard	Belgium	quality	rand/noun;zwaar/adj;	"<small>zesde Ronde . Armstrong waagt er zich niet aan ,</small> en staat dan ook nooit op de <u>rand</u><sup>1.848</sup> van <u>zware</u><sup>2.086</sup> <span class='target'>inzinkingen</span> , zoals zijn illustere voorgangers . Door die koele aanpak <small>slaat de Texaan ook niet echt aan bij het publiek</small>"	20.6269597619198	9.67158983313564
dip/noun/de_morgen_20040814_01_149/1393	dip	de_morgen	Belgium	quality	;zit/verb	"<small>u dat u aanleg hebt tot depressie . Ik kan</small> me niet van de indruk ontdoen dat u in een <span class='target'>dip</span> <u>zat</u><sup>2.409</sup> toen u de songs voor Blackberry Belle schreef . <small>In ' Papillon ' zingt u : ' If down</small>"	18.1986957009967	-30.5633534452385
inzinking/noun/de_standaard_20010106_01_39/313	inzinking	de_standaard	Belgium	quality	na/prep;fysiek/adj;	"<small>van november 1995 tot april 1997 . Hij keerde tweemaal</small> naar België terug -- voor wisselstukken en <u>na</u><sup>1.551</sup> een <u>fysieke</u><sup>2.223</sup> <span class='target'>inzinking</span> -- en nam enkele weken vakantie in Zimbabwe , waar <small>hij de opnames voor de televisiereeks Kongo bezocht . "</small>"	-1.28553705275192	-14.051155229472
inzinking/noun/de_standaard_19990722_01_66/385	inzinking	de_standaard	Belgium	quality	enorm/adj;krijg/verb	"<small>rest , toen begonnen er toch belletjes te rinkelen in</small> mijn achterhoofd . Stel eens dat de Amerikaan een <u>enorme</u><sup>1.106</sup> <span class='target'>inzinking</span> <u>kreeg</u><sup>1.37</sup> . ( meewarig ) Maar de man met de <small>hamer stond er niet . Ach , het had me</small>"	25.494227340307	-0.152732688503019
inzinking/noun/het_nieuwsblad_20031219_01_108/313	inzinking	het_nieuwsblad	Belgium	popular	;achter/fixed;rug/fixed	"<small>dergelijke zaken te forceren . " Debacker ziet het positief</small> in . " We staan er goed voor , de <span class='target'>inzinking</span> hebben we intussen <u>achter</u><sup>2.815</sup> de <u>rug</u><sup>2.681</sup> en had tegen de <small>toppers plaats . Het was gewoon ook de logische gang</small>"	11.8982991879711	8.47625429675762
dip/noun/algemeen_dagblad_20000520_132/100	dip	algemeen_dagblad	Netherlands	popular	zit/verb;	"<small>nieuwe arbeidskrachten contracten aan te bieden . Dat remt de</small> vraag naar uitzendkrachten . " We <u>zitten</u><sup>2.409</sup> nu in een <span class='target'>dip</span> , maar zijn optimistisch over de toekomst " , zei <small>Van Schaik . Hij verwacht vooral veel van de groei</small>"	18.9281254128848	-30.9054393780294
dip/noun/algemeen_dagblad_20040916_146/28	dip	algemeen_dagblad	Netherlands	popular	ongelooflijk/adj;zit/verb	"<small>persconferenties zo eerlijk mogelijk de vragen over zijn huwelijk te</small> beantwoorden . " Ik heb dit seizoen in een <u>ongelooflijke</u><sup>1.998</sup> <span class='target'>dip</span> <u>gezeten</u><sup>2.409</sup> , maar ik denk dat ik nu uit het <small>dal ben gekropen . " In de aanloop naar de</small>"	21.4576753887378	-31.3491756428575
